Name,Phone,Email,Address,Latitude,Longitude,Gender,DOB,Helps,Type
Scott-Jacobs,634.987.9952,yhutchinson@example.net,"759 Wade Lights Suite 550, Gainesville, FL",29.629695,-82.37585,,,"Relief,Clearance,Information,Lost & Found,Medical Camps",Supplies
Jones PLC,(211)5319956,ewright@example.com,"18195 Donald Station, Gainesville, FL",29.672493,-82.367889,,,"Contacts,Health Kits,Training,Damage Reports,Sandbags",Supplies
Williamson Group,+15945587684x55691,nelsongabrielle@example.net,"719 Miller Springs Suite 859, Gainesville, FL",29.634862,-82.360933,,,"Assessment,Trauma Support,Communication,Recruitment,Crowd Control",Police
Pena PLC,0013405954709,james71@example.net,"00697 Neal Loaf Suite 031, Gainesville, FL",29.636364,-82.39746,,,"Housing,Crowd Control,Food,Support,Medication,Follow-up,Cash Aid",Medical
"James, Bass and Nguyen",470.586.2330,johnsjustin@example.com,"1575 Gonzalez Inlet Suite 151, Gainesville, FL",29.648001,-82.389983,,,"Blood Donation,Damage Reports,Cash Aid,Medication,Clearance",Supplies
Thompson-Ray,8046532068,brookeward@example.com,"573 Cook Cove Apt. 756, Gainesville, FL",29.632203,-82.386944,,,"Crowd Control,Psych Support,Pet Care,Collection,Alerts",Supplies
Marshall-Barrera,3255084136x3980,robertgutierrez@example.org,"196 Alan Burg, Gainesville, FL",29.629828,-82.329114,,,"Blood Donation,Job Aid,Relocation,Communication,Legal,Vaccination,Toolkits",Police
Berger Ltd,4439820342,pmoore@example.org,"06081 Wendy Divide, Gainesville, FL",29.655581,-82.324012,,,"Emergency Kits,Counseling,Hazard Map,Information",Supplies
"Calhoun, Wolfe and Gill",6772496494x8984,kathryn60@example.org,"139 David Estates, Gainesville, FL",29.653894,-82.351036,,,"Follow-up,Translation,Resource Sharing,Financial Aid,Sanitation,Medical,Language Help",Medical
Long Ltd,(898)6086593,catherine42@example.com,"32172 Duran Ford Suite 584, Gainesville, FL",29.651244,-82.386175,,,"Financial,Emergency Kits,Clean-up",Supplies
"Lewis, Collins and Owens",(707)4749611x22248,dramos@example.net,"08069 Jones Village, Gainesville, FL",29.649742,-82.354704,,,"School,Medication,Waste Removal,Awareness",Supplies
Bridges-Johnson,6963484165x747,aandrews@example.com,"45149 Sarah Vista Apt. 067, Gainesville, FL",29.662371,-82.369946,,,"Remapping,Documentation,Health Kits",Supplies
Todd Group,3129999588,ypatterson@example.com,"98297 Natalie Tunnel Suite 696, Gainesville, FL",29.647856,-82.318485,,,"Psych Support,Information,Mental Health",Police
